               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11913,            0.012151,                   0,           0.0016333,                0.49,           0.0021163,           0.0005625,             0.10789,            0.010464,                   0,              0.0802,              0.0022,              0.0022
                   1,             0.10473,            0.013123,                   0,           0.0016333,                0.49,           0.0021753,          0.00052672,            0.096657,            0.011233,                   0,            0.059411,           0.0044109,           0.0044109
                   2,            0.094729,            0.014677,                   0,              0.0022,                0.66,           0.0081494,           0.0021797,            0.083061,            0.012083,                   0,            0.038531,           0.0065307,           0.0065307
                   3,            0.083949,            0.015896,                   0,             0.18726,                0.11,            0.069171,             0.02137,            0.083564,            0.010594,                   0,            0.017559,           0.0085595,           0.0085595
                   4,            0.078609,            0.015822,                   0,             0.11817,                0.13,            0.059493,            0.017717,            0.078867,            0.010778,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.073099,            0.016387,                   0,              0.1608,                 0.2,             0.10315,            0.025182,            0.068005,             0.01164,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.066202,            0.015795,                   0,             0.14209,                0.21,            0.085569,            0.026103,            0.073967,            0.010707,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.064924,            0.015274,                   0,              0.3658,                0.28,             0.19446,            0.086232,            0.068393,            0.010677,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.061368,            0.016122,                   0,             0.27443,                0.33,             0.24242,            0.096437,            0.063867,            0.011015,                   0,            0.008614,            0.008614,            0.008614
                   9,              0.0579,            0.015806,                   0,             0.35831,             0.38531,              0.2706,             0.12029,            0.059645,            0.010942,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.05613,            0.014817,                   0,             0.38573,                0.42,             0.28965,             0.13177,            0.054808,             0.01112,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.05302,            0.014459,                   0,             0.46481,                0.41,             0.36367,             0.15476,            0.054702,             0.01097,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.055446,            0.014964,                   0,             0.47157,                0.35,             0.34258,             0.16566,            0.052696,            0.011056,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.051498,            0.013451,                   0,             0.40303,                0.46,             0.38096,              0.1654,            0.052661,             0.01061,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.051335,            0.014428,                   0,             0.51735,              0.4502,             0.39389,             0.18484,            0.051051,            0.010381,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.050664,            0.014248,                   0,              0.4716,                0.51,             0.40507,             0.20352,            0.047674,            0.010347,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.049024,            0.014109,                   0,             0.52464,                0.44,             0.36724,             0.19991,            0.047933,            0.010846,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.047648,            0.014137,                   0,             0.55729,                0.51,             0.41496,             0.20601,            0.045181,            0.010471,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.043598,            0.013745,                   0,             0.48389,                0.52,              0.4261,             0.21531,            0.046341,             0.01005,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.044938,            0.013795,                   0,             0.51955,             0.55152,             0.47767,             0.23643,            0.045687,            0.010087,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.046485,            0.012486,                   0,             0.54563,                0.51,             0.43951,             0.22073,            0.043311,            0.010498,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.044785,            0.012917,                   0,             0.52426,                0.56,             0.44048,             0.21604,            0.046461,            0.010612,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.043877,            0.012783,                   0,             0.58042,                0.52,             0.42067,             0.21161,            0.047792,            0.010489,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.04467,            0.013191,                   0,             0.57921,             0.46803,             0.47152,             0.25129,            0.043739,            0.010102,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.042688,            0.012741,                   0,             0.50411,             0.51846,             0.47549,              0.2484,            0.043453,           0.0098681,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.041095,            0.012247,                   0,             0.50179,                0.49,             0.41747,             0.23429,            0.045994,             0.01037,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.038881,            0.011596,                   0,             0.53353,                0.52,             0.46703,             0.24415,            0.045498,           0.0097294,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.039348,            0.012013,                   0,             0.56127,             0.51174,             0.48303,             0.25532,             0.04477,           0.0095992,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.038203,            0.011892,                   0,             0.58045,                0.55,             0.47243,             0.23898,            0.047005,           0.0097466,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.038593,            0.011888,                   0,             0.57381,             0.51164,             0.47722,             0.28065,            0.044389,            0.010442,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.038122,            0.011942,                   0,             0.61248,             0.47419,             0.47827,             0.29446,            0.043352,            0.010063,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.036657,            0.010803,                   0,             0.53195,                0.55,             0.49578,              0.2808,            0.043947,            0.010401,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.036318,            0.011379,                   0,              0.6264,             0.50302,             0.52502,             0.32126,            0.041555,            0.010135,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.036491,            0.011292,                   0,             0.62534,                0.49,             0.48777,             0.27145,            0.042429,            0.010562,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.034953,            0.011277,                   0,             0.52894,             0.56145,             0.50583,             0.30035,             0.04129,            0.010245,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.033568,            0.011069,                   0,             0.57658,                0.53,             0.49793,             0.29069,            0.042856,            0.010324,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.033605,            0.011671,                   0,             0.54776,                0.48,             0.47225,             0.28254,            0.041269,            0.010248,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.034711,            0.011251,                   0,             0.54389,                0.54,             0.46373,             0.28409,            0.041581,            0.010395,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.032028,            0.010182,                   0,             0.55023,                0.56,               0.485,             0.30702,            0.040158,            0.010257,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.033155,           0.0097139,                   0,             0.57253,                0.59,             0.49928,             0.30398,            0.039997,            0.010349,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.032227,            0.010833,                   0,             0.58048,                0.59,              0.5075,             0.31108,            0.039931,           0.0099273,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.033435,            0.010993,                   0,             0.52355,                0.63,             0.50134,             0.31752,             0.03928,             0.01044,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032751,            0.010318,                   0,             0.55141,                0.58,             0.49057,             0.31088,             0.03982,             0.01044,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03089,            0.010773,                   0,              0.5392,                0.57,             0.48466,             0.30388,            0.041079,            0.010368,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030175,           0.0099223,                   0,             0.59115,                0.55,              0.4849,             0.30283,            0.041639,            0.010452,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.032693,            0.010304,                   0,             0.55172,             0.55387,             0.48947,             0.32189,            0.040591,            0.010698,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.029195,            0.010076,                   0,             0.54621,                0.55,             0.48886,             0.30887,            0.039725,            0.010797,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.031889,            0.010211,                   0,              0.5343,                0.55,             0.49524,             0.31882,            0.039056,            0.010741,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029627,           0.0098825,                   0,              0.5423,                0.55,             0.50151,             0.31348,            0.039334,            0.010747,                   0,            0.000694,            0.000694,            0.000694
